id,severity_reported,severity_normalized,theme,area,files,title,evidence,fix,loc_delta_estimate,sources,in_flight,territory,verify
R-011,Should-fix,Blocker,observability,jasper/accessories/,"jasper/accessories/bridge.py:643-663,727-738; jasper/accessories/supervisor.py:100-134",Per-device HID reader tasks die permanently while status reports healthy,"_read_device catches only OSError; any other exception kills that device's reader and active[p] is reaped at :729-731 with no restart (_maybe_start runs only on initial scan and udev add), while /run/jasper-input/status.json still shows hid:{restarts:0,last_error:null}",Add a done-callback that logs event=knob.reader_failed and re-arms via _maybe_start after a bounded backoff; count it in the status file,+30,T09-C3,,doctor-state-resilience,Y
R-012,Should-fix,Blocker,resilience,jasper/ (identity),jasper/speaker_name_discovery.py:161-186; jasper/web/speaker_setup.py:195,Unbounded D-Bus calls on the /speaker/ save request path,"MessageBus(...).connect(), call_get_managed_objects(), call_start_discovery() have no timeout; speaker_setup.py:195 runs asyncio.run(find_name_conflicts(name)) from a ThreadingHTTPServer handler and gathers the bounded mDNS half with the unbounded BlueZ half",Wrap the body in `async with asyncio.timeout(bluetooth_timeout + 2)`,+5,T18-F3,,steward-general,Y
R-013,Should-fix,Blocker,dead-code,jasper/xvf/,jasper/xvf/xvf_host.py:88,CLEAR_CONFIGURATION is a reachable write-only chip-config command (brick hazard adjacent),"Grepped jasper/ scripts/ deploy/ docs/ tests/ experiments/: only tests/test_xvf_host.py names it, as a table-count fixture; it is invocable today as `python -m jasper.xvf.xvf_host CLEAR_CONFIGURATION --values 1` and writes the same DataPartition BRINGUP.md:1150 names as the brick cause",Delete the entry; add CLEAR_CONFIGURATION to _FORBIDDEN_COMMANDS,-6,T07-C1,,hardware-input,Y
R-014,Should-fix,Should-fix,resilience,jasper/camilla / jasper/sound,"jasper/camilla.py:900-931,1000-1039; jasper/web/sound_setup.py:1406",The two live graph-write doors have no volume_limit check (non-negotiable 1 adjacent),"set_active_config_raw uploads arbitrary YAML with no parse; patch_config forwards any mapping; /sound/live-draft uses the first on every slider move and never reaches apply_dsp_config, which is the only writer with the check",Run parse_camilla_devices_config in set_active_config_raw and refuse a missing or >0 volume_limit (the predicate dsp_apply._volume_limit_safety_error:185 already spells); refuse a devices key in patch_config,+15,T05-C1,,hardware-input,Y
R-015,Should-fix,Should-fix,resilience,jasper/camilla,jasper/camilla.py:440-478,"No backoff on a sustained CamillaDSP outage - one retry, forever","_call retries once with zero delay; each attempt costs up to CAMILLA_ATTEMPT_BUDGET_S(5s)+2s socket, so a wedged daemon makes every call ~10 s; the comment at :448 records that the journal flooded at ~4 Hz and the fix applied was demoting the log to DEBUG, not backing off",Add a per-controller last-failure monotonic stamp; skip the retry and short-circuit best_effort calls inside a ~1 s window,+20,T05-C3,,hardware-input,N
R-016,Should-fix,Should-fix,resilience,jasper/usbsink/,jasper/usbsink/volume_bridge.py:461-469,_retry_declined retries a declined volume move forever,"`while True: sleep; post; delay=min(...,5.0)` with no exit; the comment above POST_RETRY_* records that the startup snapshot is not retried because it cost 708 declined POSTs/hour - a slider move while USB is not the winner produces the same flood",Bound it (N attempts or a staleness deadline) and emit one event= when it gives up,+10,T04-F7,,hardware-input,N
R-017,Should-fix,Should-fix,resilience,jasper/control/,jasper/control/state_aggregate.py:773; jasper/control/wifi_guardian_state.py:70-160,/state forks nmcli twice plus journalctl for a boot-oneshot fact,"_wifi_guardian_snapshot runs on every /state call (1 s TTL) and its own docstring admits a wedged nmcli or journal holds aggregation up to 3 s; /state is polled by the landing page, /rooms (7 s), /sources (4 s) and /system (5 s); the fact comes from a Type=oneshot that runs once at boot",Cache the snapshot keyed on the stash file's mtime (it already stats it) or a 60 s TTL like SOURCE_AVAILABILITY_TTL_SEC,-10,"T08-C7,T10-E",,doctor-state-resilience,N
R-018,Should-fix,Should-fix,resilience,jasper/web/,jasper/web/sources_setup.py:324-508; jasper/bluetooth/adapter.py:149,_gather_state spawns a subprocess and two D-Bus connections per 4 s poll,185 LOC / CC 49; every call runs _unit_snapshot's subprocess plus a session bus opened twice (state() and has_paired_hid()); deploy/assets/sources/js/main.js:30 polls it every 4 s per open tab on a 415 MB target (ADR-0226),"Extract _usbsink_state()/_bluetooth_state() beside _systemd_source_state and memoise the snapshot for ~2 s, or have the reconciler publish it",-60,T16-1-C10,#4031,web-ui,N
R-019,Should-fix,Should-fix,resilience,jasper/correction/,"jasper/correction/runtime_integrity.py:39,96-118; jasper/route_latency/status_socket.py:52,116","Fourth STATUS-socket reader, without the shared 1 MiB response cap","_read_status loops `sock.recv(8192)` to EOF with no byte cap while route_latency.status_socket sets _RESPONSE_MAX_BYTES=1_048_576 for exactly this, and arms settimeout once for connect plus every recv (per-operation, not total)",Import OUTPUTD_STATUS_SOCKET and read_status_socket_or_none; delete _read_status,-40,"T11-C3,T15-C1,T05-E",,tuning,N
R-020,Should-fix,Should-fix,resilience,jasper/audio_measurement/,jasper/audio_measurement/calibration.py:580-775,Vendor-website scraper in the no-I/O kernel reads responses with no size cap,_default_urlopen:581 does resp.read() with no cap and each scraped link is fetched in full; POSTs to support.daytonaudio.com and probes minidsp.com URL families from inside a package whose charter says it imports no feature layer,Move fetch_dayton_calibration_text/_extract_links/_minidsp_candidate_urls to jasper/correction/ and cap resp.read(N),-200,T12-2-C3,,tuning,N
R-021,Should-fix,Should-fix,resilience,jasper/audio_measurement/,"jasper/audio_measurement/wired_capture.py:208,290; wired_level_meter.py:133","Capture reader threads catch (OSError, RuntimeError) but ALSAAudioError is neither","open_alsa_capture_pcm catches alsaaudio.ALSAAudioError explicitly at :208, so the module knows it is a distinct type; an ALSAAudioError from read() escapes, kills the thread with no WiredCaptureError, and start() fails at the 5 s timeout with a misleading message. Neither module emits any log_event",Catch Exception in both readers (they already convert to WiredCaptureError) and emit one log_event on reader death/truncation/abandonment,+20,T12-1-C12,,tuning,N
R-022,Should-fix,Should-fix,resilience,rust/jasper-fanin/,"rust/jasper-fanin/src/main.rs:200-201; mixer.rs:2795-2801,2843-2848; xrun_log.rs:102","Unbounded xrun channel into an fdatasync-per-event writer, cloning on the RT thread","`let (xrun_tx, xrun_rx) = channel();` is an unbounded mpsc; each send clones input.label on the RT thread; the receiver does open+write+sync_data+close per event and rotation rewrites the whole file. The tap channel in the same crate correctly uses sync_channel(TAP_CHANNEL_CAPACITY)",sync_channel(256) + try_send with drop-and-count; carry the lane index or an Arc<str> instead of cloning the label,+10,"T19-1-F2,T19-2-C7",,hardware-input,N
R-023,Should-fix,Should-fix,resilience,rust/jasper-fanin/,"rust/jasper-fanin/src/tts.rs:1043-1140,1500-1520",Allocation and JSON rendering on the RT thread during barge-in,"prepare_period -> drain_flushes runs on the mixer thread and does Vec::new for acks, ledger.flush() with cloned Strings, render_events_json with a format! per event, plus info!; begin_segment_gain clones 3 Strings + Arc::new and logs a 19-field line - contradicting lane_resampler.rs:41's 'no allocation on the hot path'",Hand the raw Vec<PlayoutEvent> to the ack thread over the existing SyncSender and render JSON plus log there,+25,T19-2-C5,,hardware-input,N
R-024,Should-fix,Should-fix,resilience,rust/jasper-fanin + rust/jasper-outputd,"rust/jasper-fanin/src/tts.rs:238-276,1339; rust/jasper-outputd/src/tts.rs:237-421","Both TTS UDS servers: uncapped thread per connection, no read timeout","handle_tts_client never calls set_read_timeout, unlike state.rs:344 which does; under mlockall(MCL_FUTURE) every leaked stack is pinned unswappable on a 1 GB Pi","Move the accept/read half into jasper-tts-protocol once, with a read timeout and a single-client-at-a-time rule (voice opens one connection)",-180,"T19-2-C3,T20-C8",#4085 item 3,hardware-input,N
R-025,Should-fix,Should-fix,resilience,rust/jasper-outputd/,"rust/jasper-outputd/src/main.rs:144,239,745",A failed sd_notify discards the real shutdown error,"`notify_systemd(""STOPPING=1"")?;` runs before runtime_error_exit_code(e), so its ? replaces result's error and the park classification never happens; notify_systemd(""WATCHDOG=1"")? likewise aborts on a transient notify failure where fanin logs and continues","`let _ = notify_systemd(""STOPPING=1"");` and log-and-continue on the watchdog ping",-2,T20-C3,,hardware-input,N
R-026,Should-fix,Should-fix,resilience,jasper/cli/,"jasper/cli/wake_enroll.py:242-246,634-655",wake_enroll's systemctl has no timeout; the restore can hang,"subprocess.run(cmd, check=True) with no timeout; main's finally calls systemctl('start') to restore jasper-voice and catches only CalledProcessError, so a hung start blocks forever with no self-recovery. jasper/web/_service_state.py:14 has systemctl(*args, timeout=8)",Add timeout= and catch subprocess.TimeoutExpired alongside CalledProcessError,+4,T17-2-C4,,hardware-input,N
R-027,Should-fix,Should-fix,resilience,scripts/,scripts/aec-probe-pinknoise.sh:35-66,AEC pinknoise probe stops services with no trap and no prior-state check,"Unlike aec-probe-latency.sh and aec-probe-xvf-ref-level.sh it does not source _aec_probe_service_guard.sh: no prior-active check before an unconditional `sudo systemctl start jasper-voice; systemctl restart shairport-sync nqptp` and no trap, so a Ctrl-C leaves both services down",cat _aec_probe_service_guard.sh into the remote heredoc as aec-probe-latency.sh:53-55 does and call install_aec_probe_service_guard/stop_if_active,+10,T26-2-C8,,hardware-input,N
R-028,Should-fix,Should-fix,resilience,jasper/multiroom/,jasper/multiroom/reconcile.py:2277-2302,Imports inside a try: whose except tuple names those very imports,"CamillaUnavailable and DspApplyError are imported at :2278-2279 inside the try and referenced at :2295-2302 in the handler, so an ImportError raises NameError and crashes the oneshot; the correct pattern is 1,500 lines above at :709-710","Hoist the two exception imports above the try, or add a leading except ImportError",+2,T09-C9,,steward-general,N
R-029,Should-fix,Should-fix,resilience,jasper/web/,jasper/web/_systemd.py:143-155; jasper/web/correction_setup.py:2719-2735,No web handler sets a socket timeout; stalled clients pin threads,grep 'timeout = ' jasper/web/*.py hits only tools_setup.py:390; _read_wav_body does one rfile.read(length) with length up to MAX_WAV_BODY_BYTES (32 MB) and no deadline; ThreadingHTTPServer has no thread cap,Set handler_cls.timeout in _systemd.make_http_server when the class does not declare one; retires tools_setup's local copy,-5,T16-3-C9,,web-ui,N
R-030,Should-fix,Should-fix,resilience,jasper/web/,jasper/web/sound_setup.py:400-424,_save_i2s_hat_payload holds the sound-state write lock across a 55 s blocking manage_units,"manage_units(..., no_block=False, timeout=55.0) runs inside _sound_state_write_lock, so every other /apply, /settings and /live-draft request on the ThreadingHTTPServer blocks behind an I2S-HAT reconcile",Take the lock for the intent write and payload read only; run manage_units outside it,+6,T16-2-C6,,web-ui,N
R-031,Nit,Should-fix,resilience,scripts/,scripts/multiroom-spike-measure.py:170-176,Poll loop catches ConnectionError/JSONDecodeError but not the socket timeout it sets,"socket.create_connection persists timeout=5, so a stalled snapserver raises socket.timeout (a plain OSError), uncaught - the script crashes with a raw traceback instead of the intended 'poll error: ...' line",Add OSError to the caught tuple,+1,T26-2-C14,,steward-general,N
R-032,Should-fix,Should-fix,resilience,jasper/voice/,jasper/voice/_supervisor.py:296-302,The provider-outage escalation cue is a bare untracked create_task,"asyncio.create_task(self._cb(cue), name=...) with the result discarded - Python may GC a task with no strong reference and a raise is swallowed; it is the only untracked task in the tile and it is the one that plays 'your provider is out of credit'","Hold it on the OutageTracker with a done-callback that logs the failure, or reuse voice_daemon._track_task",+6,T01-F10,#3915,steward-general,N
R-033,Should-fix,Should-fix,resilience,jasper/ (assistant),jasper/timers.py:280,Timer pre-render create_task has no strong reference,"Fire tasks are held in self._tasks; only the pre-render task is unreferenced, so CPython may GC it mid-flight and silently skip the pre-render",Keep a set of pending pre-render tasks and discard on done,+4,T02-F11,,steward-general,N
R-034,Should-fix,Should-fix,resilience,jasper/active_speaker/,jasper/active_speaker/commissioning_runtime.py:196-203 vs restore_wait.py:29-44,Two unreconciled answers to 'a DSP restore must survive cancellation',"_capture_awaitable catches BaseException ('includes async cancellation'), converting a cancelled restore into a normal return plus CommissioningRuntimeError so an outer wait_for never unwinds; restore_wait.resilient_restore instead shields and re-raises, and is what audition.py:616 and crossover_v2/door.py:209 use",Make _restore use restore_wait's shield and let CancelledError propagate; keep _capture_awaitable for Exception only,+10,T14-3-C9,,tuning,N
R-035,Should-fix,Should-fix,resilience,jasper/audio_measurement/,"jasper/audio_measurement/calibration.py:776-850,1023","Corrupt calibration records are skipped silently, degrading a mic to uncalibrated","Three near-identical store-scan loops each glob + json.loads(read_text()) with four bare `except (...): continue` at :803,812,839,845 and zero log_event; no /state field, no doctor line, no test",One _iter_records(root) generator that emits event=correction_calibration_record_unreadable once per skip,+25,T12-2-C13,,tuning,N
R-036,Should-fix,Should-fix,observability,jasper/camilla,"jasper/camilla.py:158,699,721",The non-negotiable-1 clamp firing is logged as unstructured prose,"logger.warning('camilla main_volume clamped: requested %.1f dB -> %.1f dB'); camilla.py has 23 plain logger.* calls to 8 log_event, so a clamp cannot be grepped, alerted on, or surfaced to /state or doctor","log_event(logger, 'camilla.volume_clamped', requested_db=..., clamped_db=..., level=WARNING); same for the set_volume_db/set_main_mute skipped warnings",0,T05-C2,,hardware-input,N
R-037,Should-fix,Should-fix,observability,jasper/ (output hardware),jasper/output_hardware.py (whole); deploy/bin/jasper-audio-hardware-reconcile:379-393,"The output-hardware classifier emits no event=, and its stderr is discarded","log_event=0, logger=0 in output_hardware.py, so every profile change / blocker / ready->partial transition is visible only through the bash caller's sed diff; the caller redirects 2>/dev/null so a Python traceback reports only state_written_failed with no cause",Emit event=output_hardware.classified with profile/status/blocker codes from main() on stderr; drop the 2>/dev/null,+15,"T06-C8,T06-C9",ADR-0235 / #4027,hardware-input,N
R-038,Should-fix,Should-fix,observability,jasper/ (output hardware),"deploy/bin/jasper-audio-hardware-reconcile:58,68,164,1855",reconcile.degraded is write-only - a box flapping into permanent probe-unavailable is invisible,"Read only by write_reconcile_stamp:164; no doctor check, no /state field; ADR-0235 G5 / PR 7 not yet written. A box that stops writing DAC format and latency floor shows nothing",Add the doctor row and /state field ADR-0235 PR 7 specifies,+30,T06-D,ADR-0235 G5 / #4027,hardware-input,N
R-039,Should-fix,Should-fix,observability,jasper/active_speaker/crossover_v2/,jasper/active_speaker/crossover_v2/record_store.py; session_seams.py; session.py; composition.py; measure_spec.py,The new tuning engine emits zero event= lines,"BankedRecordStore.bank - the ruled single durable-write seam - logs nothing on write, conflict or refusal, and TuningSession logs nothing either, while the conductor it replaces has diagnostics.py (10 emitters) and coordinator.py (10)","One log_event in bank (kind, relative path, bytes) and one per measure outcome, before W5-b lands",+20,T13-1-C11,REFACTOR-CUTOVER W5-b,tuning,N
R-040,Should-fix,Should-fix,observability,jasper/active_speaker/,jasper/active_speaker/commissioning_runtime.py:207-307,The exact DSP snapshot/restore path emits no event=,"commissioning_runtime.py has no log_event import; failures are collected into an issue string and raised as CommissioningRuntimeError, so the step that puts the speaker back after a commissioning transaction is unobservable",Emit active_speaker.exact_restore with result= / reason= at :271 and :305-306,+8,T14-3-C8,,tuning,N
R-041,Should-fix,Should-fix,observability,jasper/ (platform),jasper/watchdog.py:110-127,Tier-1 watchdog emits no event= on any transition,A suppressed heartbeat - the state that ends in a systemd kill - is a plain logger.warning per tick (6/min while wedged) and reaches neither /state nor doctor; the module has no log_event import,"log_event(logger, 'watchdog.progress_stalled', ...) gated by transition_log, plus Heartbeat.stalled on /state",+15,T18-F8,,doctor-state-resilience,N
R-042,Should-fix,Should-fix,observability,rust/jasper-outputd/,rust/jasper-outputd/src/alsa_backend.rs:1618-1642; main.rs:149-155,A DAC that disappears mid-run emits no event= line,"Only EPIPE/ESTRPIPE log outputd.xrun; the else arm returns Err(...).context(...) with no eprintln!, so ENODEV/EIO surface as Rust's bare 'Error: ...' from Termination",Emit event=outputd.dac.write_failed pcm=... errno=... action=exit on the non-xrun arm,+6,T20-C4,,hardware-input,N
R-043,Should-fix,Should-fix,observability,jasper/active_speaker/crossover_v2/,jasper/active_speaker/crossover_v2/conductor_context.py:481,A role's confirmed measurement band goes missing silently,"`except (ExcitationSafetyPlanError, ValueError): pass` with no log_event, nothing in /state or doctor, while the sibling arm at :470 raises with a code and :466-468 logs","Add one WARNING log_event naming role and reason - fail-soft is right, silent is not",+4,T13-1-C10,,tuning,N
R-044,Nit,Should-fix,observability,jasper/ (assistant),jasper/wake_events.py (whole),wake_events.sqlite3 has no row-level retention at all,"No DELETE, no VACUUM anywhere in wake_events.py; the 128 MiB cap and check_wake_events_storage cover only the WAV directory, so the row table grows unbounded on a 1 GB Pi. No test, no doctor check",Add a bounded row retention pass plus a doctor row on table size,+40,T02-G,,hardware-input,N
R-045,Should-fix,Should-fix,observability,jasper/correction/,"jasper/correction/autolevel.py; session.py:487,2021; state_guard.py:89",The live correction ramp is printf-logged; the dead one is instrumented,"22 log_event vs 46 printf logger.* in the package; autolevel.py (production) emits 12 printf lines and one log_event, and every ramp terminal (START/LOCKED/CANCELLED/SAFETY TIMEOUT/MAXED_OUT) is printf-only; session._set_state logs 'session %s: %s -> %s' so the central state machine has no greppable event=",One convention: log_event for every terminal and every _set_state,0,T11-C14,,tuning,N
R-046,Should-fix,Should-fix,observability,jasper/ (repo-wide),"jasper/log_event.py:143 vs 59 raw sites in active_speaker/{commission_load,startup_load,staging,camilla_yaml}, tools/, sound/camilla_yaml.py:1056","59 sites emit event= via %-format, bypassing the logfmt escaper","log_event.py is canonical with 202 importers and 1,455 call sites; the 57-59 hand-rolled lines skip _escape_logfmt_text:56 and json_mode_enabled:77, so a value containing a space silently breaks the field grammar an agent greps",Convert the hand-rolled event= lines onto log_event(); the test_log_event_conventions allowlist already tracks them,0,"p0-dup-16,T02-F,T05-C14,T14-2,T18-1",,steward-general,N
R-047,Blocker,Should-fix,god-files,jasper/voice/,jasper/voice_daemon.py:888-5415,"WakeLoop is a 4,528-LOC / 96-method god class holding four unrelated concerns","__init__ 368 LOC, _handle_wake_frame 285, _end_turn_inner 240, for_tests 185, _begin_turn_inner 181, _handle_session_frame 168, _measurement_pause_detailed 143; ~90 instance attributes; it also owns a whole room-correction measurement-window state machine","Extract three seams that share no mutable state with the wake loop: voice/measurement_gate.py (11 methods, ~380 LOC, its own 2,421-LOC test file), voice/research_announcer.py (~330 LOC), voice/conversation_capture.py (~110 LOC)",-800,T01-F1,,steward-general,N
R-048,Blocker,Should-fix,god-files,jasper/active_speaker/,"jasper/active_speaker/runtime_contract.py (5,152 LOC)",runtime_contract holds six unrelated concerns; only one is about active speakers,"Callers split cleanly: topology contract (:521,587,608) read by output_topology/web/multiroom/doctor; ring+outputd widths (:657-783,4346) read only by fanin*/control/transport_coherence/dac.py; flat-graph verifier (:786-1314) read only by sound/camilla_yaml.py and sound/graph_carrier.py; active-graph verifier (:1317-3282); bass-extension classification (:3741-4283); selector+statefile writer (:4496-5152). _active_graph_evidence is 768 LOC / CC150","Four modules: output_contract.py, ring_lane.py (leaves beside output_topology), graph/active_verifier.py, runtime/graph_selector.py; the flat verifier moves to jasper/sound/ beside the emitter it mirrors",0,"T14-1-F1,p0-inventory-5",,tuning,Y
R-049,Blocker,Should-fix,god-files,jasper/web/,"jasper/web/correction_crossover_v2.py (7,165 LOC)","A 7,165-line domain engine lives in jasper/web with no routes","grep -c html -> 0; no BaseHTTPRequestHandler, no canonical_page, no CSRF; its only web-side consumer is correction_setup.py:608,4043,4183; _post_apply_grade CC 66, handle_v2_apply CC 66, prepare_v2_session CC 57 are the repo's most complex web functions","Move whole to jasper/active_speaker/crossover_v2/host/. Phase D.5a-b only moves the durable-state and session-volume sections and leaves ~4,500 lines of engine behind - the plan is under-scoped",0,"T16-1-C1,T13-1-E,T13-2-E",#4031 Phase D.5,tuning,Y
R-050,Blocker,Should-fix,god-files,jasper/web/,"jasper/web/sound_setup.py:2924,4089,4112,4173-4358 vs jasper/active_speaker/web_commissioning.py","55 _active_speaker_* functions (2,784 LOC, 56% of function mass) duplicate web_commissioning.py","Measured 35 sync + 20 async, not the 35 the brief assumed; sound_setup's summed-test flow is a full parallel implementation of web_commissioning.py:2204-2333 and already divergent (different blocker code, honours duration_ms/play_budget_s, defaults audio False vs True)","web_commissioning.py is the owner (/correction/ already uses it, it has the factored helpers, it is in the right package); /sound/ keeps route glue only",-2800,"T16-2-C1,T16-2-C2,T16-3-E,T14-1-F2",#4085 owner call 1,tuning,Y
R-051,Should-fix,Should-fix,god-files,jasper/web/,jasper/web/correction_setup.py:3902-4896,A 994-LOC _make_handler closure captures exactly two values,Every free-variable use in 994 lines: cfg['hostname'] x5 (all render_page args) and cfg['idle_hold'] x1 at :4029; make_server at :4912 builds cfg from two params. do_POST open-codes 16 near-identical try/except ladders mapping the same four exception families,"Set server.cfg in make_server, make Handler module-level reading self.server.cfg, and replace the 16 ladders with a ROUTES table of RouteSpec(fn, error_map)",-450,"T16-3-C1,T16-3-C2",#4031 (Phase D has no row for this file),web-ui,N
R-052,Should-fix,Should-fix,god-files,jasper/web/,"jasper/web/correction_setup.py (5,127 LOC, 54 routes)",correction_setup is a six-page multiplexer that also owns the room-correction domain,"Serves /, /room, /crossover, /measurements, /bass, /sync; do_GET allowlist 18 paths, _POST_ROUTES 36; also owns the process-global capture slot, an asyncio bridge, the mic-calibration paths and the tuning-LLM spend gate; 145 function-local imports","Split into correction_room.py (~1,400 LOC), correction_capture.py (~500 LOC, the module-global capture slot), and a correction_setup.py that keeps main()/make_server()/the module-level Handler",0,T16-3-C2,#4031 (missing Phase D row),web-ui,N
R-053,Should-fix,Should-fix,god-files,jasper/web/,jasper/web/sound_setup.py:4702-5444,"sound_setup._make_handler: 741 LOC, do_POST 633, 55 routes in one if-chain","The closure captures exactly four values (profile_path, library_path, config_dir, camilla_factory); 34 of 38 POST routes need at most camilla_factory","Frozen SoundRoutes dataclass + POST_ROUTES dict mirroring the existing _GET_JSON_ROUTES; sound_setup lands ~1,300 LOC once the _active_speaker_* block moves",-700,T16-2-C4,#4031 Phase D.2,web-ui,N
R-054,Should-fix,Should-fix,god-files,jasper/control/,"jasper/control/server.py (2,331 LOC); audio_health.py (2,979)","control/server.py is a god module: 19 delegators, a 557-LOC _make_handler","server.py carries ~30 names imported solely as `# noqa: F401 - route-mixin dependency exports` (:52-114) plus 19 delegator functions (:563-859) that only forward to _aec_endpoints/_state_aggregate/_volume_ops; audio_health mixes verdict engine, product copy, resident sampler and incident presentation with 6 fns >100 LOC","Land C8's mixin fix first (mixins import stdlib and the modules directly), then split audio_health into engine / copy / sampler",-400,"T08-B,T08-C8",#4114,doctor-state-resilience,N
